INSTNM,LATITUDE,LONGITUD
Alabama A & M University,34.783368,-86.568502
University of Alabama at Birmingham,33.505697,-86.799345
Amridge University,32.362609,-86.17401
University of Alabama in Huntsville,34.724557,-86.640449
Alabama State University,32.364317,-86.295677
