stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,107601,1927,2015,fbs,42.2658687325174,-83.7487256526947
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,1960,2001,fbs,40.8121527327504,-77.8562021255493
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,104944,1922,2014,fbs,40.0016856893694,-83.0197280645371
